DrawDate,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6,Bonus Ball
2024-10-05,2,3,11,12,30,36,6
2024-10-02,10,12,22,28,31,39,8
2024-09-28,12,16,24,28,34,35,8
2024-09-25,2,3,5,17,27,30,10
2024-09-21,10,12,19,21,25,36,6
2024-09-18,1,5,8,19,34,37,3
2024-09-14,3,15,18,22,31,32,10
2024-09-11,3,10,15,19,22,26,8
2024-09-07,2,4,8,9,33,40,8
2024-09-04,9,16,28,31,35,36,2
2024-08-31,8,14,16,24,34,39,2
2024-08-28,1,4,20,31,35,37,9
2024-08-24,5,10,14,19,25,38,3
2024-08-21,7,12,16,17,30,38,6
2024-08-17,7,22,33,34,36,37,8
2024-08-14,5,12,24,25,29,32,10
2024-08-10,3,6,17,24,25,30,1
2024-08-07,13,15,29,30,31,40,12
2024-08-03,1,17,19,27,28,29,1
2024-07-31,8,17,25,31,33,36,4
2024-07-27,1,10,12,14,34,38,8
2024-07-24,1,11,18,29,31,38,10
2024-07-20,2,4,10,25,30,40,9
2024-07-17,6,7,13,31,33,34,5
2024-07-13,11,13,15,19,31,38,8
2024-07-10,2,7,16,23,30,40,10
2024-07-06,9,12,16,17,24,28,3
2024-07-03,12,27,28,34,35,37,2
2024-06-29,1,7,8,32,34,35,9
2024-06-26,12,16,32,34,36,39,1
2024-06-22,1,3,10,17,30,31,4
2024-06-19,2,8,16,18,23,26,7
2024-06-15,3,8,13,20,38,40,2
2024-06-12,7,9,16,19,30,35,4
2024-06-08,10,21,22,30,35,37,2
2024-06-05,2,13,15,22,23,33,3
2024-06-01,15,20,33,34,38,39,7
2024-05-29,8,10,16,27,29,35,3
2024-05-25,7,10,28,33,37,39,4
2024-05-22,10,19,21,29,36,39,10
2024-05-18,13,20,21,22,31,40,7
2024-05-15,6,11,13,21,28,37,3
2024-05-11,11,19,31,32,35,38,9
2024-05-08,6,12,13,17,28,29,1
2024-05-04,11,13,15,20,30,38,8
2024-05-01,12,14,17,20,25,34,10
2024-04-27,4,5,6,12,16,21,10
2024-04-24,19,21,27,30,34,37,5
2024-04-20,5,23,26,30,32,33,10
2024-04-17,1,2,14,15,17,19,9
2024-04-13,11,14,20,31,33,36,2
2024-04-10,8,11,12,17,21,24,10
2024-04-06,2,5,6,10,21,30,3
2024-04-03,9,11,16,17,29,30,2
2024-03-30,3,20,29,30,32,40,5
2024-03-27,6,8,12,15,25,38,8
2024-03-23,7,9,11,16,28,37,4
2024-03-20,1,18,21,23,32,37,8
2024-03-16,5,7,17,20,33,38,10
2024-03-13,5,15,23,24,30,36,8
2024-03-09,12,15,22,24,34,36,5
2024-03-06,13,17,27,33,35,38,8
2024-03-02,1,5,6,28,29,40,1
2024-02-28,5,13,26,28,30,34,2
2024-02-24,6,13,16,35,36,38,3
2024-02-21,1,20,22,24,28,34,2
2024-02-17,5,6,10,22,24,34,7
2024-02-14,22,25,26,27,32,40,1
2024-02-10,5,10,17,28,33,40,3
2024-02-07,2,3,24,27,37,38,9
2024-02-03,1,11,16,17,20,35,1
2024-01-31,2,6,10,25,36,40,10
2024-01-27,8,11,13,20,25,32,1
2024-01-24,3,5,12,13,26,40,8
2024-01-20,3,17,18,21,23,33,7
2024-01-17,1,3,12,18,25,40,10
2024-01-13,5,7,9,12,15,27,2
2024-01-10,4,5,12,13,28,34,4
2024-01-06,8,16,25,29,31,37,9
2024-01-03,10,13,15,22,23,35,9
2023-12-30,10,15,17,25,33,38,7
2023-12-27,4,7,9,13,16,21,6
2023-12-23,12,14,30,35,38,40,2
2023-12-20,2,15,26,37,38,40,7
2023-12-16,1,7,23,31,35,37,7
2023-12-13,4,10,21,24,34,40,4
2023-12-09,4,16,22,24,27,30,3
2023-12-06,17,23,27,34,36,40,1
2023-12-02,1,16,18,33,34,36,8
2023-11-29,2,3,5,9,14,36,9
2023-11-25,13,16,31,33,35,37,9
2023-11-22,3,9,16,19,25,34,5
2023-11-18,7,11,12,27,33,39,5
2023-11-15,7,12,17,19,34,36,10
2023-11-11,5,19,23,31,39,40,1
2023-11-08,2,3,11,20,25,39,10
2023-11-04,10,11,12,23,24,25,10
2023-11-01,2,6,13,26,28,32,8
2023-10-28,2,14,22,24,35,36,6
2023-10-25,9,10,20,21,26,35,2
2023-10-21,8,13,26,29,33,40,4
2023-10-18,6,11,13,28,36,40,1
2023-10-14,4,6,9,12,20,36,1
2023-10-11,1,7,12,14,19,31,10
